tier,markings,endpoint,iterations,p50_ms,p95_ms,max_ms,status,resp_bytes
5.5k,5576,list_default,20,675.5,745.8,827.5,200,8848
5.5k,5576,list_year_filtered,20,915.5,962.2,1083.6,200,8900
5.5k,5576,list_search_text,20,311.0,351.7,377.2,200,9701
5.5k,5576,list_default_nocount,20,657.1,737.8,766.1,200,8868
5.5k,5576,list_year_nocount,20,839.4,1034.0,1132.4,200,8920
5.5k,5576,town_options,20,28.4,38.6,39.7,200,74511
10k,10000,list_default,20,1214.3,1466.9,1478.0,200,8849
10k,10000,list_year_filtered,20,1682.3,1936.1,2018.3,200,8900
10k,10000,list_search_text,20,481.2,521.9,526.4,200,9702
10k,10000,list_default_nocount,20,1173.7,1323.8,1335.1,200,8868
10k,10000,list_year_nocount,20,1391.7,1438.3,1449.1,200,8920
10k,10000,town_options,20,19.8,25.2,25.8,200,155725
50k,50000,list_default,20,6194.3,18710.0,21187.0,200,7318
50k,50000,list_year_filtered,20,8839.7,11404.9,11611.7,200,7370
50k,50000,list_search_text,20,2147.6,2577.3,3213.1,200,9702
50k,50000,list_default_nocount,20,6604.9,8183.7,8325.3,200,7337
50k,50000,list_year_nocount,20,6773.5,8148.3,8700.3,200,7389
50k,50000,town_options,20,91.7,98.2,111.2,200,751039
100k,100000,list_default,10,13547.1,14143.9,16555.4,200,7335
100k,100000,list_year_filtered,10,15755.7,17016.9,17958.0,200,7386
100k,100000,list_search_text,10,4526.9,4592.5,4667.2,200,9703
100k,100000,list_default_nocount,10,13218.9,13613.5,13927.3,200,7353
100k,100000,list_year_nocount,10,15979.2,16915.8,18091.4,200,7405
100k,100000,town_options,10,263.3,360.1,571.6,200,1393281
500k,500000,list_default,5,60348.0,64480.5,64984.6,200,7339
500k,500000,list_year_filtered,4,,,,ERROR: timed out,
500k,500000,list_search_text,5,30319.3,39714.4,41480.3,200,9703
500k,500000,list_default_nocount,5,60051.8,60144.6,61776.0,200,7357
500k,500000,list_year_nocount,5,83096.9,86234.2,87478.7,200,7409
500k,500000,town_options,5,1305.8,1313.8,1696.6,200,6076687
1M,1000000,list_search_text,3,46181.8,46181.8,47094.8,200,9704
1M,1000000,town_options,3,2918.9,2918.9,2970.1,200,11088589
1M,1000000,list_default,2,145064.7,144645.3,145484.1,200,7328
1M,1000000,list_default_nocount,2,119981.4,118104.4,121858.5,200,7345
1M,1000000,list_year_filtered,1,172250.3,172250.3,172250.3,200,7379
1M,1000000,list_year_nocount,1,147000.9,147000.9,147000.9,200,7397
